date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:49	98566/98566	---M--	200	added ('OK')	image/jpeg	etag:%224f1e4fa7e38e747febc760db0a4427cd%22	http://d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-8-f7feaa7a87af33a6de5676db6d22b2c5023d3c2ae7c621a8bd0c366ef22001f0.jpg	D:/landing/midtrans/d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-8-f7feaa7a87af33a6de5676db6d22b2c5023d3c2ae7c621a8bd0c366ef22001f0.jpg	(from https://dashboard.midtrans.com/login)
20:33:49	101061/101061	---M--	200	added ('OK')	image/jpeg	etag:%22779bca2358b55fbaa54672d1f000e72d%22	http://d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-7-d74e9d9b8a30c23a464c10239a412065d6518ab539448f6449efe279394c2005.jpg	D:/landing/midtrans/d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-7-d74e9d9b8a30c23a464c10239a412065d6518ab539448f6449efe279394c2005.jpg	(from https://dashboard.midtrans.com/login)
20:33:51	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2021%20Mar%202022%2013:33:50%20GMT	https://www.google.com/recaptcha/api.js	D:/landing/midtrans/www.google.com/recaptcha/api.js	(from https://dashboard.midtrans.com/register)
20:33:51	121019/121019	---M--	200	added ('OK')	image/jpeg	etag:%22f9797571bdf4fdb4090df59d1946cc52%22	http://d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-6-cd5cf21a2c058c16cd134f10f75190c59735d0358288101c7c279c7956663035.jpg	D:/landing/midtrans/d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-6-cd5cf21a2c058c16cd134f10f75190c59735d0358288101c7c279c7956663035.jpg	(from https://dashboard.midtrans.com/login)
20:33:52	8769/8769	---MCZ	200	added ('OK')	text/html	etag:W/%22d0011efd3065697e6efb39db51aed04e%22	https://dashboard.midtrans.com/register?language=en	D:/landing/midtrans/dashboard.midtrans.com/register07a0.html	(from https://dashboard.midtrans.com/register)
20:33:53	8676/8676	---MCZ	200	added ('OK')	text/html	etag:W/%224aae9a74b6d1dd0c0f55d6ef89c46fbd%22	https://dashboard.midtrans.com/register?language=id	D:/landing/midtrans/dashboard.midtrans.com/register0417.html	(from https://dashboard.midtrans.com/register)
20:33:53	7284/7284	---MCZ	200	added ('OK')	text/html	etag:W/%2267fb96d0663301890f2753f24015c7a6%22	https://dashboard.midtrans.com/password/new?language=en	D:/landing/midtrans/dashboard.midtrans.com/password/new07a0.html	(from https://dashboard.midtrans.com/password/new)
20:33:54	7306/7306	---MCZ	200	added ('OK')	text/html	etag:W/%2203a596a920e35491f71c182cb6e0734a%22	https://dashboard.midtrans.com/password/new?language=id	D:/landing/midtrans/dashboard.midtrans.com/password/new0417.html	(from https://dashboard.midtrans.com/password/new)
20:33:54	7454/7454	---MCZ	200	added ('OK')	text/html	etag:W/%221c639b6cf8fcf5d8bf23cd68cf159757%22	https://dashboard.midtrans.com/confirmation?language=en	D:/landing/midtrans/dashboard.midtrans.com/confirmation07a0.html	(from https://dashboard.midtrans.com/confirmation)
20:33:55	7355/7355	---MCZ	200	added ('OK')	text/html	etag:W/%2245b19af6c42f74cbc9ae5c3cdfdfc798%22	https://dashboard.midtrans.com/confirmation?language=id	D:/landing/midtrans/dashboard.midtrans.com/confirmation0417.html	(from https://dashboard.midtrans.com/confirmation)
20:33:59	208271/208271	---M--	200	added ('OK')	image/jpeg	etag:%2252cf082824445db846cebc832807e301%22	http://d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-5-440f479e6c4afcc1cf1b9886a7df854f8e5fcc7df3546080222ae465d38befe1.jpg	D:/landing/midtrans/d2qxq3vr14xbxo.cloudfront.net/assets/blog/thumb-5-440f479e6c4afcc1cf1b9886a7df854f8e5fcc7df3546080222ae465d38befe1.jpg	(from https://dashboard.midtrans.com/login)
20:33:59	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2021%20Mar%202022%2013:33:58%20GMT	http://d2qxq3vr14xbxo.cloudfront.net/robots.txt		(from http://d2qxq3vr14xbxo.cloudfront.net/assets/midtrans-new-e291c152853d2cfa6405caf1cbac79c6ed49969d3c911fe01f452d38aee98b47.css)
20:34:01	158192/158192	---M--	200	added ('OK')	application/font-sfnt	etag:%228b6af8e5e8324edfd77af8b3b35d7f9c%22	http://d2qxq3vr14xbxo.cloudfront.net/assets/Poppins-Regular-78f127277756ae464f4eb665ce214cb6315746f6f4193e95b31f18f4b3e97527.ttf	D:/landing/midtrans/d2qxq3vr14xbxo.cloudfront.net/assets/Poppins-Regular-78f127277756ae464f4eb665ce214cb6315746f6f4193e95b31f18f4b3e97527.ttf	(from http://d2qxq3vr14xbxo.cloudfront.net/assets/midtrans-new-e291c152853d2cfa6405caf1cbac79c6ed49969d3c911fe01f452d38aee98b47.css)
